,Active Learning,Active Listening,Complex Problem Solving,Coordination,Critical Thinking,Equipment Maintenance,Equipment Selection,Installation,Instructing,Judgment and Decision Making,Learning Strategies,Management of Financial Resources,Management of Material Resources,Management of Personnel Resources,Mathematics,Monitoring,Negotiation,Operation and Control,Operations Analysis,Operations Monitoring,Persuasion,Programming,Quality Control Analysis,Reading Comprehension,Repairing,Science,Service Orientation,Social Perceptiveness,Speaking,Systems Analysis,Systems Evaluation,Technology Design,Time Management,Troubleshooting,Writing
Active Learning,1.0,0.8251393807279419,0.9271872106338789,0.6615024849511428,0.9263150586519971,-0.30410215675261837,-0.3744148963514916,-0.0514784741908535,0.8052291056383811,0.907181426044018,0.879464635112124,0.8498830432023162,0.8463680722762698,0.8447458455762517,0.8313006629756134,0.8669568222355422,0.8047391889482257,-0.6109662099295251,0.8729954124745675,-0.1182718107728142,0.8532073440581434,0.8047993361839787,0.3202900202238071,0.9023804117269904,-0.21106931883664212,0.8528746365809011,0.8723686322048498,0.8071859248253979,0.8390754319657621,0.9095994506077204,0.9104139373562329,0.7690720778002962,0.8841888843753417,-0.17236834863969283,0.9136894907601307
Active Listening,0.8251393807279419,1.0,0.7985654053883977,0.5992230701895573,0.8483652548173539,-0.5202565173238665,-0.6098999201982641,-0.31977244700062646,0.6435109652545379,0.7867801292720042,0.7455503843307284,0.7717032956589677,0.7251941221578256,0.8037575564971898,0.7565581282847257,0.8405795064662218,0.9163287833141076,-0.6330918818738308,0.7333698868276559,-0.23433955309630633,0.8694799713154152,0.7513525464935306,0.12202785904722097,0.9366844935984968,-0.4548843099093894,0.7658714630653872,0.8325502746518388,0.8352605175918971,0.9405704828916241,0.7623335888289232,0.7681581730066658,0.4659669511645909,0.849336627798838,-0.3700263157425925,0.907688835362523
Complex Problem Solving,0.9271872106338789,0.7985654053883977,1.0,0.721504472767999,0.8519717983652796,-0.3030872639557034,-0.3913277357639231,-0.12075680148876605,0.8075351371072994,0.9497466630426883,0.809657333027476,0.8758317161118758,0.8375839261856411,0.8354688038163486,0.8053765258561044,0.8409935167806194,0.8292789084075451,-0.5788431701572276,0.8071744344593672,-0.12956166616242243,0.8596418863423169,0.8458136968402586,0.2706646736567408,0.8697417800501692,-0.25930953568837495,0.8046163447157756,0.8446709574666285,0.7678889671108929,0.8524602218258565,0.8829135732095383,0.8925766598743705,0.7499662585301399,0.8411494236817776,-0.14768352155864556,0.908405487070533
Coordination,0.6615024849511428,0.5992230701895573,0.721504472767999,1.0,0.6344581705308109,-0.24889579199037776,-0.22737952087314517,-0.2535360839825723,0.7238312496606134,0.7053090308225575,0.6634226936483978,0.8158188668099481,0.7894227260128901,0.7855592374701736,0.6433199919017408,0.8124990611034593,0.7709899671978443,-0.449876062744839,0.5785206512531624,-0.14525140009442614,0.7913826923208961,0.42415399687594557,0.31136323878357625,0.6169078463455061,-0.18450030027775963,0.39216572649669507,0.6584944290424074,0.7736470755984328,0.6738111499711252,0.5807316891945957,0.6128237611981082,0.44948103152776053,0.723502907566992,-0.14008099439762936,0.6683980787902851
Critical Thinking,0.9263150586519971,0.8483652548173539,0.8519717983652796,0.6344581705308109,1.0,-0.33946378884501516,-0.41848380028621546,-0.05144209155427235,0.7663714924511512,0.9017831807039814,0.8255891447080258,0.8552195691452494,0.8297133959072142,0.8417222234104268,0.8691255551291076,0.8703398104994845,0.8406785568335426,-0.6272841768483763,0.7923482999777246,-0.12014036651338197,0.8578353398963379,0.7969198907903844,0.34493913081671035,0.890535075595397,-0.2311912945711909,0.8532575460231864,0.8659758710207779,0.8163015209056838,0.837142534668615,0.9131417582989738,0.9127814177530044,0.6566901839455439,0.8727662433718835,-0.1752890229565221,0.915857093597915
Equipment Maintenance,-0.30410215675261837,-0.5202565173238665,-0.3030872639557034,-0.24889579199037776,-0.33946378884501516,1.0,0.8792486580433829,0.5738165923979316,-0.1512179151704843,-0.3330586200040474,-0.263141321060762,-0.311478060966583,-0.3018559192971518,-0.3674724704593682,-0.5159585772370742,-0.25057967746868753,-0.4489113397188006,0.7932829181096853,-0.4671105100561216,0.756307679826884,-0.3334999151564386,-0.390598065340199,0.5377126557177575,-0.5409406056751239,0.9624245846217447,-0.3933949350326523,-0.2345105854742087,-0.42999294424163204,-0.41667386616176016,-0.2468008654070932,-0.1978961617116567,-0.14624440451753384,-0.3897899459738806,0.8247113089595124,-0.39980680214670283
Equipment Selection,-0.3744148963514916,-0.6098999201982641,-0.3913277357639231,-0.22737952087314517,-0.41848380028621546,0.8792486580433829,1.0,0.6804126770127064,-0.16574353616856596,-0.4336296316088831,-0.25818512222413703,-0.3675182271678521,-0.28526493128487646,-0.34530218188393624,-0.5127801819046042,-0.3471443298191834,-0.4973380208998645,0.7824069457788326,-0.4433854016581456,0.6267197935983404,-0.3916818849719857,-0.5183928413433054,0.4776982083609609,-0.5851003125355135,0.860571656767385,-0.5147557124937027,-0.2699663906697624,-0.4091794217682679,-0.48984422315778536,-0.30501122135214453,-0.24974241283816268,-0.2270610414651053,-0.46396028888459145,0.7141246296961054,-0.44947922175647936
Installation,-0.0514784741908535,-0.31977244700062646,-0.12075680148876605,-0.2535360839825723,-0.05144209155427235,0.5738165923979316,0.6804126770127064,1.0,-0.04250266467436316,-0.11607673385711888,-0.050343715906018945,-0.17333805528585633,-0.14095596498543414,-0.16371047650423426,-0.19406044062236583,-0.16816803653641954,-0.31907632900242866,0.42634092179037036,-0.19388062753772797,0.5345733677877085,-0.16283980937350087,-0.16733899208202868,0.5060228381718977,-0.2128184431387717,0.6698248754458763,-0.0745391090919855,-0.00797018975899935,-0.20228101270870025,-0.18775210260601086,0.04027073908553955,0.04458323722812627,0.1080212414336832,-0.22954218655965916,0.7117514299283944,-0.12698946644583964
Instructing,0.8052291056383811,0.6435109652545379,0.8075351371072994,0.7238312496606134,0.7663714924511512,-0.1512179151704843,-0.16574353616856596,-0.04250266467436316,1.0,0.819811009849371,0.837113725206692,0.7583541207448095,0.7920774987847607,0.8092155241500093,0.7033389746692524,0.7882163262069876,0.7893552769049499,-0.38047935735874167,0.6287880511945122,0.05134128785862123,0.788488754023598,0.5937055966224817,0.5119196348038613,0.6861995030486356,-0.11967155915518105,0.5617193557256485,0.7756952586751645,0.7345556191978719,0.7389790381722292,0.7602079831944557,0.7918940653533829,0.5835525623757807,0.7657342298346287,-0.0010495868911428207,0.7932183267586612
Judgment and Decision Making,0.907181426044018,0.7867801292720042,0.9497466630426883,0.7053090308225575,0.9017831807039814,-0.3330586200040474,-0.4336296316088831,-0.11607673385711888,0.819811009849371,1.0,0.8182229005269168,0.8776666615831644,0.8159927794518825,0.8631846920480217,0.8105260760174986,0.8481656611243737,0.8294359190216771,-0.5816842119098059,0.7582169087119407,-0.0801388825981337,0.8563871400544085,0.8126785693749989,0.3266242438360079,0.8482145779252156,-0.26383887548182955,0.7784778738938398,0.8249174873708264,0.7874695148648616,0.8277511759596334,0.9179734927400943,0.9121238373996138,0.6994200418123898,0.8777044397277194,-0.09712640960567631,0.8945541175627177
