O*NET-SOC Code,Active Learning,Active Listening,Complex Problem Solving,Coordination,Critical Thinking,Equipment Maintenance,Equipment Selection,Installation,Instructing,Judgment and Decision Making,Learning Strategies,Management of Financial Resources,Management of Material Resources,Management of Personnel Resources,Mathematics,Monitoring,Negotiation,Operation and Control,Operations Analysis,Operations Monitoring,Persuasion,Programming,Quality Control Analysis,Reading Comprehension,Repairing,Science,Service Orientation,Social Perceptiveness,Speaking,Systems Analysis,Systems Evaluation,Technology Design,Time Management,Troubleshooting,Writing
11-3013.00,3.12,3.75,3.38,3.75,3.75,2.25,1.88,0.12,3.25,3.38,3.25,3.25,3.0,3.62,2.75,3.88,3.5,2.25,1.38,2.5,3.38,1.12,2.88,3.88,1.88,0.75,2.88,3.62,3.75,3.12,3.25,0.88,3.75,2.25,3.75
11-9021.00,4.0,4.12,4.12,4.5,4.38,1.0,0.88,0.0,3.25,4.38,3.25,4.12,3.75,4.12,3.88,4.5,3.88,1.62,3.38,2.88,3.88,0.62,3.12,4.25,1.38,2.0,2.88,3.88,4.12,3.88,3.88,1.0,4.12,2.38,3.88
11-9041.00,3.88,4.0,4.25,4.12,4.25,0.12,0.0,0.0,3.75,4.25,3.12,3.25,3.0,3.88,4.25,4.0,3.88,1.12,2.25,2.62,3.75,1.12,3.12,4.38,0.0,2.75,3.25,3.62,4.0,3.62,3.25,1.75,4.0,2.0,4.12
17-2051.00,4.62,4.0,4.12,3.75,4.62,0.88,0.25,0.0,3.0,4.0,3.62,3.38,3.0,3.5,4.75,3.88,3.0,0.5,4.5,2.12,3.25,1.88,2.5,5.0,1.62,4.0,3.0,3.5,3.88,4.12,4.0,2.5,4.0,0.62,3.88
17-2051.01,3.88,4.0,4.38,3.75,4.0,0.0,0.0,0.0,3.0,4.25,3.0,3.75,3.0,3.88,4.62,3.75,3.12,1.25,3.88,2.0,3.62,2.12,2.62,4.38,0.0,3.25,3.0,3.0,4.12,3.75,3.88,2.75,3.88,2.0,4.12
17-3022.00,3.0,4.0,3.25,3.0,3.62,0.0,0.25,0.0,2.38,3.12,2.62,1.62,2.0,2.25,3.38,3.38,2.75,2.0,3.0,2.38,2.38,1.0,2.0,4.12,0.0,2.62,2.62,2.88,3.5,3.0,2.75,0.75,2.88,0.88,3.5
47-1011.00,3.12,3.62,3.25,3.88,3.38,2.0,2.62,0.0,3.0,3.12,3.0,2.0,2.25,3.88,3.0,3.38,3.0,3.0,2.62,2.88,3.12,0.25,3.12,3.62,2.0,0.75,3.0,3.38,3.75,3.0,3.12,0.75,3.5,2.0,3.12
47-2021.00,2.12,2.75,2.25,3.12,3.0,2.0,2.0,0.12,2.12,2.12,2.12,1.0,1.75,2.12,3.38,2.88,2.12,2.12,1.62,2.25,2.25,0.0,2.88,2.38,1.88,1.25,2.12,2.25,2.5,2.12,2.12,0.75,2.62,2.0,2.12
47-2031.00,2.88,3.12,2.88,3.88,3.62,2.0,2.62,1.75,3.0,2.88,2.38,1.62,2.12,2.5,3.5,3.5,2.5,2.62,1.62,2.75,2.38,0.5,3.12,3.12,2.38,0.75,2.5,2.75,3.0,2.25,2.38,0.88,2.88,2.12,2.62
47-2061.00,2.12,3.0,2.62,3.25,2.62,2.12,2.12,1.25,2.0,2.12,2.0,0.5,0.88,1.75,1.38,2.5,2.0,3.0,0.75,2.88,2.0,0.0,2.12,2.62,2.0,0.5,1.88,2.12,2.88,1.0,1.12,0.62,2.38,2.0,2.0
47-2071.00,2.12,2.75,2.5,3.12,2.88,3.0,2.12,0.88,2.0,2.5,2.12,0.5,0.62,1.62,2.0,2.88,1.62,3.12,0.62,3.12,1.75,0.0,2.88,2.12,3.0,0.12,1.88,1.75,2.25,1.88,1.88,0.75,2.12,2.88,1.62
47-2072.00,2.0,2.75,2.25,3.12,3.0,3.12,1.88,0.0,2.12,2.5,1.62,0.5,0.75,1.38,1.38,2.88,1.62,3.75,0.12,3.62,1.62,0.0,2.88,2.25,2.88,0.38,1.75,2.0,2.38,1.25,1.25,0.5,2.75,3.0,1.88
47-2073.00,2.62,3.0,2.62,2.88,3.0,3.25,2.12,0.62,2.38,2.62,2.12,0.88,1.0,2.12,1.62,3.0,2.12,4.12,1.25,3.25,2.12,0.25,2.75,2.5,3.0,0.62,2.25,2.38,2.5,2.0,1.75,1.0,2.88,3.0,1.88
47-2081.00,2.0,2.38,2.5,3.12,2.62,1.38,1.88,1.12,2.12,2.5,1.88,0.62,0.75,2.0,2.12,2.62,1.5,2.38,1.5,2.25,1.62,0.0,2.25,2.75,1.12,0.12,1.62,2.25,2.25,1.88,1.5,0.75,2.62,1.88,1.88
47-2111.00,3.25,3.12,3.0,3.75,3.75,3.0,2.88,3.75,3.0,3.12,3.25,2.38,2.38,3.25,3.25,3.5,2.38,3.0,2.75,3.25,3.25,0.0,3.88,3.25,3.75,2.0,3.0,3.12,3.12,3.12,3.0,2.0,3.12,4.0,3.12
47-2132.00,2.62,2.88,2.38,3.0,3.0,0.38,1.0,1.38,2.0,2.5,2.12,0.38,1.12,2.0,2.0,2.75,1.75,2.12,1.38,2.5,1.75,0.0,2.0,2.75,0.38,0.38,2.0,2.38,2.62,1.75,1.62,0.5,2.75,1.88,2.0
47-2141.00,1.88,3.0,1.75,2.88,3.0,0.38,0.88,0.0,1.25,2.0,1.5,0.75,1.0,2.12,2.0,2.62,1.88,2.0,0.62,2.0,2.0,0.0,2.0,2.75,0.62,0.5,2.0,2.62,2.0,1.62,1.25,0.38,2.75,1.25,2.0
47-2151.00,2.0,3.0,2.0,3.0,2.88,2.0,2.0,3.0,2.0,2.38,2.12,0.62,0.5,2.0,2.0,2.88,1.88,3.0,0.0,3.0,2.0,0.0,3.0,2.75,2.88,0.0,1.88,2.5,2.88,2.0,1.75,0.62,2.88,3.0,2.0
47-2152.00,2.62,2.75,2.88,3.0,3.5,2.75,2.38,3.0,2.5,3.12,2.38,1.62,1.5,2.5,2.5,2.88,1.75,2.88,1.38,3.0,1.88,0.62,2.88,2.75,3.12,1.12,2.25,2.5,2.62,2.88,2.75,0.88,2.88,3.12,2.5
47-2171.00,1.88,2.38,2.38,3.25,2.88,1.12,1.75,0.12,2.12,2.75,2.0,0.62,0.75,1.88,2.25,2.25,1.62,2.88,1.0,2.38,1.62,0.0,2.38,2.12,0.88,0.25,1.62,2.12,2.0,2.0,1.75,0.88,2.5,1.75,1.62
47-2221.00,3.0,3.0,2.88,3.38,3.12,1.5,2.25,1.12,2.88,2.75,3.0,1.0,1.62,2.38,2.12,3.0,2.0,3.0,2.0,3.0,2.12,0.0,3.0,3.0,1.62,0.25,2.25,2.75,2.38,2.12,2.0,1.25,2.88,1.88,2.38
47-2231.00,3.0,3.0,3.0,3.0,3.5,2.88,2.75,3.38,2.88,2.88,2.0,1.25,1.75,2.12,2.75,3.0,2.12,2.88,1.75,2.88,2.25,0.62,3.25,3.0,2.62,1.62,2.12,2.25,3.0,2.88,2.88,1.38,3.0,3.12,2.88
47-3011.00,2.12,2.25,2.38,3.12,2.38,2.0,1.88,0.25,2.38,2.38,2.12,0.62,1.5,1.75,2.0,2.62,1.5,2.38,0.88,2.5,1.62,0.0,2.38,2.12,2.0,0.25,1.75,2.25,2.0,1.75,1.62,0.88,2.5,2.25,1.75
47-4011.00,3.12,3.88,3.0,3.0,3.88,0.0,0.0,0.0,3.0,3.38,3.0,0.62,1.0,3.0,3.38,3.0,3.0,1.75,1.88,2.88,3.0,0.62,3.12,4.0,0.0,2.25,2.75,3.0,3.88,3.0,3.0,0.75,3.25,1.75,3.12
47-4021.00,3.0,3.0,3.12,3.0,3.25,4.0,3.25,3.38,2.12,3.0,2.25,0.62,0.88,2.0,2.0,3.0,1.75,3.25,1.25,3.5,2.25,0.38,3.62,3.12,4.0,1.88,2.5,2.38,2.88,3.0,2.75,1.25,3.0,4.0,2.75
47-4051.00,2.12,2.88,2.75,3.5,2.75,2.25,1.5,0.5,2.12,2.62,1.75,0.62,0.62,1.88,1.88,2.75,2.12,3.12,0.12,3.0,2.38,0.12,2.88,2.75,2.25,0.0,2.25,2.62,2.75,1.88,1.75,0.62,2.5,2.75,1.88
47-4061.00,2.38,2.75,2.38,3.12,3.0,3.0,2.25,0.5,2.62,2.75,2.25,0.75,1.0,2.12,2.0,2.88,1.75,3.12,0.75,3.25,1.88,0.0,3.0,2.25,3.0,0.25,1.88,2.0,2.25,2.12,2.0,0.75,2.75,3.0,2.12
49-9021.00,3.0,2.88,3.25,3.12,3.62,3.25,3.25,3.88,2.75,3.38,2.88,1.62,2.25,2.88,2.75,3.0,2.38,3.25,1.12,3.75,2.62,0.75,3.25,3.0,3.75,1.25,2.88,2.75,2.62,3.12,3.25,1.25,2.75,3.5,2.62
