,0
Coordination,3.334285714285715
Critical Thinking,3.330357142857143
Active Listening,3.1432142857142855
Monitoring,3.1128571428571425
Reading Comprehension,3.1064285714285718
Time Management,2.9960714285714287
Judgment and Decision Making,2.955357142857143
Speaking,2.924285714285715
Complex Problem Solving,2.9114285714285715
Quality Control Analysis,2.817142857142857
Operations Monitoring,2.7996428571428567
Active Learning,2.766785714285714
Mathematics,2.6746428571428567
Social Perceptiveness,2.665
Writing,2.611071428571429
Operation and Control,2.552857142857143
Instructing,2.5353571428571433
Management of Personnel Resources,2.517857142857143
Systems Analysis,2.5039285714285713
Learning Strategies,2.454285714285714
Persuasion,2.4192857142857145
Systems Evaluation,2.4107142857142856
Troubleshooting,2.3664285714285715
Service Orientation,2.3485714285714288
Negotiation,2.3032142857142857
Repairing,1.9289285714285713
Equipment Maintenance,1.8439285714285716
Equipment Selection,1.737142857142857
Management of Material Resources,1.6335714285714287
Operations Analysis,1.6203571428571426
Management of Financial Resources,1.4449999999999998
Science,1.137857142857143
Installation,1.0757142857142856
Technology Design,1.0364285714285715
Programming,0.42750000000000005
