,0
Installation,1.3384331042690083
Repairing,1.2116359900922278
Equipment Maintenance,1.1646024255186014
Management of Financial Resources,1.127611372507127
Operations Analysis,1.115345759852596
Science,1.0797371324226444
Equipment Selection,0.9739680470188725
Mathematics,0.9381205882482475
Management of Material Resources,0.9105481226151002
Systems Evaluation,0.8522472627268431
Troubleshooting,0.8279703621718114
Systems Analysis,0.8141814307121
Operation and Control,0.8112261279617605
Writing,0.8077327174611308
Management of Personnel Resources,0.7995709828487754
Reading Comprehension,0.7972323156266089
Active Learning,0.7192797507148104
Negotiation,0.7036889757578803
Persuasion,0.7031143870451245
Speaking,0.6880376204799903
Complex Problem Solving,0.6728035004847628
Judgment and Decision Making,0.6465605992214561
Programming,0.5790901228395892
Technology Design,0.5772489949028947
Learning Strategies,0.5747168615061428
Critical Thinking,0.5639902950495272
Social Perceptiveness,0.5549407709470077
Active Listening,0.5483041435758387
Instructing,0.5440008315819974
Time Management,0.5275473598940829
Monitoring,0.5182081459603685
Service Orientation,0.49742830703018964
Quality Control Analysis,0.47409060817728155
Operations Monitoring,0.47029921242369654
Coordination,0.42265850475320094
